date,PHR,GVR,TRC,VNIndex
11/10/2022,38200,12400,29500,947.239990234375
11/09/2022,41000,13300,31650,985.5900268554688
11/08/2022,40450,13050,29850,981.6500244140625
11/07/2022,37850,12450,30850,975.1900024414063
11/04/2022,38400,13350,31500,997.1500244140625
11/03/2022,41000,14250,31450,1019.809997558594
11/02/2022,41000,14200,31000,1023.190002441406
11/01/2022,40450,14500,30200,1033.75
10/31/2022,40400,14400,30600,1027.93994140625
10/28/2022,40850,14500,30600,1027.359985351563
10/27/2022,40100,14400,31300,1028.010009765625
10/26/2022,37500,13500,29550,993.3599853515625
10/25/2022,38250,13300,29800,997.7000122070313
10/24/2022,40550,14050,31200,986.1500244140625
10/21/2022,43600,15100,33400,1019.820007324219
10/20/2022,46850,16200,34000,1058.449951171875
10/19/2022,47400,16550,34000,1060.069946289063
10/18/2022,48600,16800,33200,1063.660034179688
10/17/2022,48300,16600,33500,1051.579956054688
10/14/2022,47000,16450,32500,1061.849975585938
10/13/2022,45550,16000,33500,1050.989990234375
10/12/2022,45750,15950,33400,1034.81005859375
10/11/2022,44300,15340,35250,1006.200012207031
10/10/2022,47600,16460,34150,1042.47998046875
10/07/2022,46450,16168,36700,1035.910034179688
10/06/2022,49900,17337,37600,1074.52001953125
10/05/2022,52500,18603,37250,1104.260009765625
10/04/2022,51500,17775,37800,1078.140014648438
10/03/2022,51300,18944,38850,1086.43994140625
09/30/2022,55100,20356,39950,1132.109985351563
09/29/2022,55100,20356,38750,1126.069946289063
09/28/2022,58500,21622,38800,1143.619995117188
09/27/2022,60000,22158,40200,1166.5400390625
09/26/2022,60000,22401,39850,1174.349975585938
09/23/2022,62200,22742,40045.6015625,1203.280029296875
09/22/2022,63000,22986,40192.30078125,1214.699951171875
09/21/2022,62800,22645,40290.1015625,1210.550048828125
09/20/2022,62500,22888,39605.5,1218.930053710938
09/19/2022,61000,22304,40094.5,1205.430053710938
09/16/2022,65500,23960,39556.6015625,1234.030029296875
09/15/2022,67500,24836,39507.69921875,1245.660034179688
