date,PHR,VNIndex
11/10/2022,38200,947.239990234375
11/09/2022,41000,985.5900268554688
11/08/2022,40450,981.6500244140625
11/07/2022,37850,975.1900024414063
11/04/2022,38400,997.1500244140625
11/03/2022,41000,1019.809997558594
11/02/2022,41000,1023.190002441406
11/01/2022,40450,1033.75
10/31/2022,40400,1027.93994140625
10/28/2022,40850,1027.359985351563
10/27/2022,40100,1028.010009765625
10/26/2022,37500,993.3599853515625
10/25/2022,38250,997.7000122070313
10/24/2022,40550,986.1500244140625
10/21/2022,43600,1019.820007324219
10/20/2022,46850,1058.449951171875
10/19/2022,47400,1060.069946289063
10/18/2022,48600,1063.660034179688
10/17/2022,48300,1051.579956054688
10/14/2022,47000,1061.849975585938
10/13/2022,45550,1050.989990234375
10/12/2022,45750,1034.81005859375
10/11/2022,44300,1006.200012207031
10/10/2022,47600,1042.47998046875
10/07/2022,46450,1035.910034179688
10/06/2022,49900,1074.52001953125
10/05/2022,52500,1104.260009765625
10/04/2022,51500,1078.140014648438
10/03/2022,51300,1086.43994140625
09/30/2022,55100,1132.109985351563
09/29/2022,55100,1126.069946289063
09/28/2022,58500,1143.619995117188
09/27/2022,60000,1166.5400390625
09/26/2022,60000,1174.349975585938
09/23/2022,62200,1203.280029296875
09/22/2022,63000,1214.699951171875
09/21/2022,62800,1210.550048828125
09/20/2022,62500,1218.930053710938
09/19/2022,61000,1205.430053710938
09/16/2022,65500,1234.030029296875
09/15/2022,67500,1245.660034179688
09/14/2022,66900,1240.77001953125
09/13/2022,67300,1248.400024414063
09/12/2022,67000,1249.619995117188
09/09/2022,68000,1248.780029296875
09/08/2022,66500,1234.599975585938
09/07/2022,66200,1243.170043945313
09/06/2022,70800,1277.400024414063
09/05/2022,72100,1277.349975585938
08/31/2022,70600,1280.510009765625
08/30/2022,70700,1279.390014648438
08/29/2022,68100,1270.800048828125
08/26/2022,69400,1282.569946289063
08/25/2022,69600,1288.880004882813
08/24/2022,69600,1277.160034179688
08/23/2022,67600,1270.81005859375
08/22/2022,67300,1260.430053710938
08/19/2022,65600,1269.180053710938
08/18/2022,66500,1273.660034179688
08/17/2022,67900,1275.280029296875
08/16/2022,68600,1274.68994140625
08/15/2022,69000,1274.199951171875
08/12/2022,68600,1262.329956054688
08/11/2022,67700,1252.069946289063
08/10/2022,69300,1256.5
08/09/2022,68800,1258.849975585938
08/08/2022,70000,1256.75
08/05/2022,69700,1252.739990234375
08/04/2022,69000,1254.150024414063
08/03/2022,69800,1249.760009765625
08/02/2022,68400,1241.619995117188
08/01/2022,68000,1231.349975585938
07/29/2022,66900,1206.329956054688
07/28/2022,67600,1208.119995117188
07/27/2022,65400,1191.0400390625
07/26/2022,65400,1185.069946289063
07/25/2022,66000,1188.5
07/22/2022,66000,1194.760009765625
07/21/2022,66500,1198.469970703125
07/20/2022,65000,1194.140014648438
07/19/2022,66100,1178.329956054688
07/18/2022,63600,1176.489990234375
07/15/2022,64000,1179.25
07/14/2022,64000,1182.170043945313
07/13/2022,65500,1173.920043945313
07/12/2022,66300,1174.819946289063
07/11/2022,62800,1155.2900390625
07/08/2022,63700,1171.31005859375
07/07/2022,61700,1166.47998046875
07/06/2022,61400,1149.609985351563
07/05/2022,61600,1181.2900390625
07/04/2022,62000,1195.530029296875
07/01/2022,64800,1198.900024414063
06/30/2022,65000,1197.599975585938
06/29/2022,69800,1218.089965820313
06/28/2022,70000,1218.099975585938
06/27/2022,68700,1202.819946289063
06/24/2022,64900,1185.47998046875
06/23/2022,65200,1188.880004882813
06/22/2022,61300,1169.27001953125
06/21/2022,62000,1172.469970703125
06/20/2022,64500,1180.400024414063
06/17/2022,65800,1217.300048828125
06/16/2022,66000,1236.630004882813
06/15/2022,64000,1213.930053710938
06/14/2022,66000,1230.31005859375
06/13/2022,65100,1227.0400390625
06/10/2022,70000,1284.079956054688
06/09/2022,73000,1307.800048828125
06/08/2022,73500,1307.910034179688
06/07/2022,70000,1291.349975585938
06/06/2022,69000,1290.010009765625
06/03/2022,68000,1287.97998046875
06/02/2022,67000,1288.619995117188
06/01/2022,65600,1299.52001953125
05/31/2022,66000,1292.680053710938
05/30/2022,65000,1293.920043945313
05/27/2022,63300,1285.449951171875
05/26/2022,62900,1268.569946289063
05/25/2022,63700,1268.430053710938
05/24/2022,60600,1233.380004882813
05/23/2022,60300,1218.81005859375
05/20/2022,60300,1240.7099609375
05/19/2022,59600,1241.640014648438
05/18/2022,59900,1240.760009765625
05/17/2022,58800,1228.369995117188
05/16/2022,55000,1171.949951171875
05/13/2022,54800,1182.77001953125
05/12/2022,58900,1238.839965820313
05/11/2022,63300,1301.530029296875
05/10/2022,63300,1293.56005859375
05/09/2022,61400,1269.619995117188
05/06/2022,66000,1329.260009765625
05/05/2022,69000,1360.680053710938
05/04/2022,68300,1348.680053710938
04/29/2022,70000,1366.800048828125
04/28/2022,69200,1350.989990234375
04/27/2022,70700,1353.77001953125
04/26/2022,68600,1341.339965820313
04/25/2022,64200,1310.920043945313
04/22/2022,69000,1379.22998046875
04/21/2022,74100,1370.2099609375
04/20/2022,79600,1384.719970703125
04/19/2022,85500,1406.449951171875
04/18/2022,87500,1432.599975585938
04/15/2022,86300,1458.56005859375
04/14/2022,80700,1472.119995117188
